"Symbol: CLV25",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2024-06-04,68.81,68.81,68.81,68.81,-1.3199999999999932,930,11820
2024-06-05,68.9,68.9,68.9,68.9,0.09000000000000341,1613,12505
2024-06-06,69.88,69.88,69.88,69.88,0.9799999999999898,482,12299
2024-06-07,70.27,70.28,70.1,70.25,0.37000000000000455,136,12340
2024-06-10,71.54,71.54,71.54,71.54,1.2900000000000063,180,12295
2024-06-11,71.89,71.89,71.89,71.89,0.3499999999999943,1124,12228
2024-06-12,72.45,72.45,72.23,72.23,0.3400000000000034,249,12278
2024-06-13,72.23,72.37,72.23,72.37,0.14000000000000057,363,12456
2024-06-14,71.95,71.95,71.95,71.95,-0.4200000000000017,483,12563
2024-06-17,72.22,72.29,72.22,72.23,0.28000000000000114,574,12777
2024-06-18,73.17,73.17,73.17,73.17,0.9399999999999977,822,13012
2024-06-20,73.51,73.51,73.51,73.51,0.3400000000000034,655,13146
2024-06-21,73.04,73.04,73.04,73.04,-0.46999999999999886,150,13212
2024-06-24,73.51,73.76,73.5,73.76,0.7199999999999989,413,13311
2024-06-25,73.47,73.47,73.47,73.47,-0.29000000000000625,313,13350
2024-06-26,73.82,73.82,73.82,73.82,0.3499999999999943,234,13471
2024-06-27,74.02,74.02,73.85,73.85,0.030000000000001137,573,13606
2024-06-28,73.62,74.02,73.62,73.62,-0.22999999999998977,516,13761
2024-07-01,74.53,74.73,74.53,74.73,1.1099999999999994,598,14049
2024-07-02,75,75,74.72,74.72,-0.010000000000005116,458,14207
2024-07-03,75.43,75.43,75.43,75.43,0.710000000000008,569,14415
2024-07-05,74.84,74.84,74.84,74.84,-0.5900000000000034,380,14627
2024-07-08,74.6,74.6,74.6,74.6,-0.2400000000000091,1086,15179
2024-07-09,74.21,74.21,73.75,73.75,-0.8499999999999943,541,15159
2024-07-10,73.76,74.05,73.72,73.72,-0.030000000000001137,148,15129
2024-07-11,73.74,73.82,73.74,73.74,0.01999999999999602,306,15155
2024-07-12,73.39,74.22,73.39,73.67,-0.06999999999999318,324,15054
2024-07-15,73.46,73.46,73.46,73.46,-0.21000000000000796,200,15110
2024-07-16,72.62,72.62,72.62,72.62,-0.8399999999999892,207,15147
2024-07-17,73.36,73.44,73.28,73.28,0.6599999999999966,372,15249
2024-07-18,73.33,73.33,73.33,73.33,0.04999999999999716,1193,16062
2024-07-19,73.4,73.4,71.57,71.57,-1.7600000000000051,214,16161
2024-07-22,71.36,71.77,71.06,71.77,0.20000000000000284,398,16187
2024-07-23,71.45,71.45,70.57,70.57,-1.2000000000000028,305,16245
2024-07-24,71.22,71.22,71.22,71.22,0.6500000000000057,1235,16465
2024-07-25,71.52,71.52,70.65,71.52,0.29999999999999716,756,16493
2024-07-26,70.93,70.93,70.5,70.93,-0.5899999999999892,198,16504
2024-07-29,71.04,71.04,70.35,70.35,-0.5800000000000125,114,16532
2024-07-30,69.84,69.84,69.84,69.84,-0.5099999999999909,520,16622
2024-07-31,71.33,71.63,70.6,71.63,1.789999999999992,212,16657
2024-08-01,71.15,71.88,70.81,70.81,-0.8199999999999932,255,16692
