"Symbol: CLK26",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2024-05-15,69.77,69.77,69.51,69.77,0.22999999999998977,,2612
2024-05-16,70.16,70.16,70.16,70.16,0.39000000000000057,,2612
2024-05-17,70.67,70.67,70.67,70.67,0.5100000000000051,,2612
2024-05-20,70.82,70.82,70.82,70.82,0.14999999999999147,22,2634
2024-05-21,70.6,70.6,70.6,70.6,-0.21999999999999886,20,2639
2024-05-22,69.63,69.63,69.63,69.63,-0.9699999999999989,,2639
2024-05-23,69.28,69.84,69.28,69.28,-0.3499999999999943,,2639
2024-05-24,69.48,69.48,69.48,69.48,0.20000000000000284,,2639
2024-05-28,70.84,70.84,70.84,70.84,1.3599999999999994,38,2604
2024-05-29,70.57,70.57,70.57,70.57,-0.27000000000001023,,2604
2024-05-30,69.92,69.92,69.92,69.92,-0.6499999999999915,,2604
2024-05-31,70.14,70.14,70.14,70.14,0.21999999999999886,,2604
2024-06-03,68.59,68.59,68.59,68.59,-1.5499999999999972,1,2604
2024-06-04,67.28,67.28,67.28,67.28,-1.3100000000000023,1,2604
2024-06-05,67.3,67.3,67.3,67.3,0.01999999999999602,163,2743
2024-06-06,68.11,68.11,68.11,68.11,0.8100000000000023,,2743
2024-06-07,68.59,68.59,68.59,68.59,0.480000000000004,,2743
2024-06-10,69.7,69.7,69.7,69.7,1.1099999999999994,41,2784
2024-06-11,70.09,70.09,70.09,70.09,0.39000000000000057,605,2709
2024-06-12,70.32,70.44,70.32,70.32,0.22999999999998977,,2709
2024-06-13,70.58,70.58,70.39,70.39,0.07000000000000739,73,2782
2024-06-14,70.02,70.02,70.02,70.02,-0.37000000000000455,90,2872
2024-06-17,70.06,70.06,70.06,70.06,0.04000000000000625,,2872
2024-06-18,70.98,70.98,70.98,70.98,0.9200000000000017,680,3226
2024-06-20,71.25,71.25,71.25,71.25,0.269999999999996,35,3260
2024-06-21,70.85,70.85,70.85,70.85,-0.4000000000000057,198,3457
2024-06-24,71.46,71.46,71.46,71.46,0.6099999999999994,136,3559
2024-06-25,71.23,71.23,71.23,71.23,-0.22999999999998977,9,3567
2024-06-26,71.57,71.57,71.57,71.57,0.3399999999999892,233,3559
2024-06-27,71.53,71.53,71.53,71.53,-0.03999999999999204,131,3606
2024-06-28,71.32,71.56,71.32,71.32,-0.21000000000000796,36,3623
2024-07-01,72.31,72.31,72.31,72.31,0.9900000000000091,132,3582
2024-07-02,72.3,72.3,72.3,72.3,-0.010000000000005116,14,3580
2024-07-03,72.9,72.9,72.9,72.9,0.6000000000000085,,3580
2024-07-05,72.39,72.39,72.39,72.39,-0.5100000000000051,5,3581
2024-07-08,72.26,72.26,72.26,72.26,-0.12999999999999545,2,3581
2024-07-09,71.47,71.47,71.47,71.47,-0.7900000000000063,508,3756
2024-07-10,71.48,71.48,71.48,71.48,0.010000000000005116,15,3771
2024-07-11,71.44,71.5,71.44,71.44,-0.04000000000000625,65,3786
2024-07-12,71.39,71.39,71.39,71.39,-0.04999999999999716,65,3826
2024-07-15,71.17,71.17,71.17,71.17,-0.21999999999999886,1,3826
2024-07-16,69.82,70.5,69.82,70.5,-0.6700000000000017,1,3827
2024-07-17,71,71,71,71,0.5,50,3852
2024-07-18,71.04,71.04,71.04,71.04,0.04000000000000625,85,3906
2024-07-19,69.53,69.53,69.53,69.53,-1.5100000000000051,17,3917
2024-07-22,69.79,69.79,69.79,69.79,0.2600000000000051,12,3905
2024-07-23,68.67,68.67,68.67,68.67,-1.1200000000000045,127,3995
2024-07-24,69.27,69.27,69.27,69.27,0.5999999999999943,62,4016
2024-07-25,69.58,69.58,68.89,69.58,0.3100000000000023,5,4021
2024-07-26,69.09,69.09,68.75,69.09,-0.4899999999999949,9,4027
2024-07-29,68.68,68.68,68.68,68.68,-0.4099999999999966,5,4032
2024-07-30,68.34,68.34,68.26,68.26,-0.4200000000000017,5,4037
2024-07-31,69.66,69.66,69.66,69.66,1.3999999999999915,21,4058
2024-08-01,68.97,69.89,68.97,68.97,-0.6899999999999977,9,4067
2024-08-02,66.97,69.02,66.97,66.97,-2,3,4067
2024-08-05,67.24,67.24,66.8,67.07,0.09999999999999432,35,4093
2024-08-06,66.78,67.48,66.78,66.78,-0.28999999999999204,15,4108
2024-08-07,67.73,67.73,67.73,67.73,0.9500000000000028,,4108
2024-08-08,68.47,68.47,68.47,68.47,0.7399999999999949,30,4108
2024-08-09,68.84,68.84,68.84,68.84,0.37000000000000455,31,4136
2024-08-12,70.32,70.32,70.32,70.32,1.4799999999999898,,4136
2024-08-13,69.35,69.35,69.35,69.35,-0.9699999999999989,120,4197
2024-08-14,69.03,69.03,69.03,69.03,-0.3199999999999932,18,4197
2024-08-15,69.62,69.62,69.62,69.62,0.5900000000000034,55,4252
2024-08-16,68.79,68.79,68.77,68.79,-0.8299999999999983,1,4251
2024-08-19,67.93,67.93,67.93,67.93,-0.8599999999999994,,4251
2024-08-20,67.3,67.32,67.3,67.31,-0.6200000000000045,12,4263
2024-08-21,66.67,66.67,66.67,66.67,-0.6400000000000006,3,4266
2024-08-22,67.19,67.19,67.19,67.19,0.519999999999996,30,4256
2024-08-23,68.3,68.3,68.3,68.3,1.1099999999999994,20,4276
2024-08-26,69.34,69.34,69.34,69.34,1.0400000000000063,6,4277
2024-08-27,68.51,68.51,68.51,68.51,-0.8299999999999983,1393,4262
2024-08-28,67.79,67.79,67.79,67.79,-0.7199999999999989,94,4336
2024-08-29,68.59,68.59,68.59,68.59,0.7999999999999972,144,4480
2024-08-30,67.45,67.45,67.45,67.45,-1.1400000000000006,3,4483
2024-09-03,65.67,65.67,65.67,65.67,-1.7800000000000011,8,4489
2024-09-04,65.41,65.87,65.41,65.41,-0.2600000000000051,1,4490
2024-09-05,65.88,65.89,65.88,65.88,0.46999999999999886,1748,5843
2024-09-06,64.95,64.95,64.95,64.95,-0.9299999999999926,44,5878
2024-09-09,65.08,65.14,65.08,65.08,0.12999999999999545,9,5878
2024-09-10,63.29,63.29,63.29,63.29,-1.7899999999999991,435,6133
2024-09-11,64.27,64.27,64.27,64.27,0.9799999999999969,23,6133
2024-09-12,65.31,65.31,65.31,65.31,1.0400000000000063,20,6153
2024-09-13,64.83,65.34,64.83,64.83,-0.480000000000004,27,6160
2024-09-16,65.66,65.66,65.66,65.66,0.8299999999999983,40,6200
2024-09-17,66.26,66.26,66.26,66.26,0.6000000000000085,131,6233
2024-09-18,66.18,66.18,65.85,66.18,-0.0799999999999983,109,6292
2024-09-19,66.68,66.68,66.68,66.68,0.5,402,6318
2024-09-20,66.64,66.64,66.64,66.64,-0.04000000000000625,168,6327
2024-09-23,66.52,66.82,66.21,66.52,-0.12000000000000455,342,6650
2024-09-24,67.41,67.41,67.41,67.41,0.8900000000000006,54,6661
2024-09-25,66.53,66.53,66.53,66.53,-0.8799999999999955,27,6667
2024-09-26,65.64,65.64,65.64,65.64,-0.8900000000000006,918,7577
2024-09-27,65.8,65.8,65.63,65.8,0.1599999999999966,135,7611
2024-09-30,66.06,66.09,66.06,66.06,0.2600000000000051,172,7695
2024-10-01,66.6,67.61,65.21,67.03,0.9699999999999989,539,7839
2024-10-02,67.04,68.14,67.04,67.04,0.010000000000005116,553,7901
2024-10-03,69.21,69.35,69.21,69.21,2.1699999999999875,58,7982
2024-10-04,68.86,68.86,68.86,68.86,-0.3499999999999943,266,8070
2024-10-07,70.66,70.66,70.66,70.66,1.7999999999999972,401,8174
2024-10-08,69.04,69.04,68.93,69.04,-1.6199999999999903,257,8399
2024-10-09,68.43,68.43,68.42,68.43,-0.6099999999999994,54,8448
2024-10-10,69.62,69.62,69.62,69.62,1.1899999999999977,110,8546
2024-10-11,69.66,69.66,69.43,69.66,0.03999999999999204,58,8531
2024-10-14,69.03,69.03,68.28,69.03,-0.6299999999999955,5,8531
2024-10-15,66.8,66.8,66.8,66.8,-2.230000000000004,23,8536
