date,im_correction_factor,price,pnl,baseline_margin,garch_volatility,margin_950,margin_990,margin_995,dynamic_margin,baseline_breach_950,baseline_breach_990,baseline_breach_995,baseline_breach,dynamic_breach,baseline_breach_magnitude,dynamic_breach_magnitude
2025-01-17,0.9752621,71.12,-0.3100000000000023,2.442755616535194,0.011049460179480289,1.5181065678232077,2.442755616535194,2.874623668141687,2.382326972368908,0,0,0,0,0,0.0,0.0
2025-01-21,0.96909624,70.81,0.10999999999999943,2.311337901628627,0.010500781823145084,1.436434011314687,2.311337901628627,2.719971900635221,2.2399088698377922,0,0,0,0,0,0.0,0.0
2025-01-22,0.97369725,70.92,-0.23000000000000398,2.2862014252764036,0.01037047270566691,1.42081237090828,2.2862014252764036,2.690391409911276,2.2260680407377147,0,0,0,0,0,0.0,0.0
2025-01-23,0.97089803,70.69,-0.25,2.100602330340457,0.009559576431233492,1.3054675516815617,2.100602330340457,2.471979241507257,2.039470664340959,0,0,0,0,0,0.0,0.0
2025-01-24,0.97441095,70.44,-1.2199999999999989,2.076507576315939,0.00948346315614509,1.290493313535468,2.076507576315939,2.443624644867264,2.0233717201202115,0,0,0,0,0,0.0,0.0
2025-01-27,0.98154396,69.22,-0.0799999999999983,1.9712678991896022,0.009161505430604783,1.2250896996988547,1.9712678991896022,2.3197790728226657,1.934886099991443,0,0,0,0,0,0.0,0.0
2025-01-28,0.97501016,69.14,-0.5600000000000023,2.3660057644633636,0.011008780479204974,1.4704086099427673,2.3660057644633636,2.7843047922792734,2.306879658970346,0,0,0,0,0,0.0,0.0
2025-01-29,0.97672886,68.58,0.29000000000000625,2.068175467295907,0.009701584931234608,1.2853151330652206,2.068175467295907,2.433819456975201,2.0200466664518983,0,0,0,0,0,0.0,0.0
2025-01-30,0.9693366,68.87,-0.2400000000000091,2.2735152839496453,0.010619903824392974,1.4129282770848455,2.2735152839496453,2.6754624166593777,2.203801575391784,0,0,0,0,0,0.0,0.0
2025-01-31,0.97595024,68.63,0.010000000000005116,2.0561850889663726,0.009638312320133012,1.2778634371323423,2.0561850889663726,2.419709234445065,2.0067343310611525,0,0,0,0,0,0.0,0.0
2025-02-03,0.9717155,68.64,0.5499999999999972,2.092766128580753,0.00980835579529999,1.3005975641651402,2.092766128580753,2.462757635017317,2.0335732850169106,0,0,0,0,0,0.0,0.0
2025-02-04,0.96927404,69.19,-1.1899999999999977,1.903778911105802,0.00885168538908267,1.1831471183893574,1.903778911105802,2.2403583394626088,1.8452834764343216,1,0,0,0,0,0.0,0.0
